time_ns,x,y,z,roll,pitch,yaw
1760679846943611437,-0.0502418,7.90189e-07,0.0771107,-3.47678e-05,0.103986,3.92634e-05
1760679846948458345,-0.0502418,8.05744e-07,0.0771107,-3.45605e-05,0.103986,3.92638e-05
1760679846948794902,-0.0502418,8.05744e-07,0.0771107,-3.45605e-05,0.103986,3.92638e-05
1760679846949679117,-0.0502418,8.05744e-07,0.0771107,-3.45605e-05,0.103986,3.92638e-05
1760679846951649097,-0.0502418,8.10909e-07,0.0771107,-3.44916e-05,0.103986,3.9264e-05
1760679846952680320,-0.0502418,8.10909e-07,0.0771107,-3.44916e-05,0.103986,3.9264e-05
1760679846953659574,-0.0502418,8.16064e-07,0.0771107,-3.4423e-05,0.103986,3.92641e-05
1760679846954789944,-0.0502418,8.21208e-07,0.0771107,-3.43544e-05,0.103986,3.92642e-05
1760679846955702813,-0.0502418,8.21208e-07,0.0771107,-3.43544e-05,0.103986,3.92642e-05
1760679846956794410,-0.0502418,8.26343e-07,0.0771106,-3.43544e-05,0.103986,3.92642e-05
1760679846957669537,-0.0502418,8.26343e-07,0.0771106,-3.4286e-05,0.103986,3.92644e-05
1760679846958909986,-0.0502418,8.31467e-07,0.0771106,-3.42177e-05,0.103986,3.92645e-05
1760679846959632474,-0.0502418,8.31467e-07,0.0771106,-3.42177e-05,0.103986,3.92645e-05
1760679846960777252,-0.0502418,8.36582e-07,0.0771106,-3.41495e-05,0.103986,3.92647e-05
1760679846961815548,-0.0502418,8.36582e-07,0.0771106,-3.41495e-05,0.103986,3.92647e-05
1760679846963933999,-0.0502418,8.36582e-07,0.0771106,-3.41495e-05,0.103986,3.92647e-05
1760679846965618299,-0.0502418,8.36582e-07,0.0771106,-3.41495e-05,0.103986,3.92647e-05
1760679846966605618,-0.0502418,8.51865e-07,0.0771106,-3.39458e-05,0.103986,3.92651e-05
1760679846967611533,-0.0502418,8.51865e-07,0.0771106,-3.39458e-05,0.103986,3.92651e-05
1760679846968609483,-0.0502418,8.56939e-07,0.0771106,-3.38782e-05,0.103986,3.92652e-05
1760679846969612182,-0.0502418,8.56939e-07,0.0771106,-3.38782e-05,0.103986,3.92652e-05
1760679846970610782,-0.0502418,8.62004e-07,0.0771106,-3.38107e-05,0.103986,3.92653e-05
1760679846971611658,-0.0502418,8.62004e-07,0.0771106,-3.38107e-05,0.103986,3.92653e-05
1760679846975643793,-0.0502418,8.72103e-07,0.0771106,-3.36761e-05,0.103986,3.92656e-05
1760679846977771662,-0.0502418,8.77137e-07,0.0771106,-3.3609e-05,0.103986,3.92657e-05
1760679846978611873,-0.0502418,8.77137e-07,0.0771106,-3.3609e-05,0.103986,3.92657e-05
1760679846979618319,-0.0502418,8.82162e-07,0.0771106,-3.3542e-05,0.103986,3.92659e-05
1760679846980613944,-0.0502418,8.87176e-07,0.0771106,-3.34751e-05,0.103986,3.9266e-05
1760679846981619809,-0.0502418,8.87176e-07,0.0771106,-3.34751e-05,0.103986,3.9266e-05
1760679846982610385,-0.0502418,8.92181e-07,0.0771106,-3.34084e-05,0.103986,3.92661e-05
1760679846983611420,-0.0502418,8.92181e-07,0.0771106,-3.34084e-05,0.103986,3.92661e-05
1760679846984613618,-0.0502418,8.97176e-07,0.0771106,-3.33418e-05,0.103986,3.92663e-05
1760679846985616657,-0.0502418,8.97176e-07,0.0771106,-3.33418e-05,0.103986,3.92663e-05
1760679846986616821,-0.0502418,8.97176e-07,0.0771106,-3.33418e-05,0.103986,3.92663e-05
1760679846988632258,-0.0502418,9.07137e-07,0.0771106,-3.32091e-05,0.103986,3.92665e-05
1760679846989613566,-0.0502418,9.07137e-07,0.0771106,-3.32091e-05,0.103986,3.92665e-05
1760679846990610303,-0.0502418,9.12102e-07,0.0771106,-3.31429e-05,0.103986,3.92667e-05
1760679846991605968,-0.0502418,9.12102e-07,0.0771106,-3.31429e-05,0.103986,3.92667e-05
1760679846992608317,-0.0502418,9.17058e-07,0.0771106,-3.30768e-05,0.103986,3.92668e-05
1760679846993609432,-0.0502418,9.17058e-07,0.0771106,-3.30768e-05,0.103986,3.92668e-05
1760679846994610698,-0.0502418,9.22004e-07,0.0771106,-3.30109e-05,0.103986,3.92669e-05
1760679846995613737,-0.0502418,9.22004e-07,0.0771106,-3.30109e-05,0.103986,3.92669e-05
1760679846996610705,-0.0502418,9.22004e-07,0.0771106,-3.30109e-05,0.103986,3.92669e-05
1760679846997612132,-0.0502418,9.2694e-07,0.0771106,-3.29451e-05,0.103987,3.9267e-05
1760679846998612326,-0.0502418,9.31866e-07,0.0771106,-3.28794e-05,0.103987,3.92672e-05
1760679847000607504,-0.0502418,9.36783e-07,0.0771106,-3.28138e-05,0.103987,3.92673e-05
1760679847001611635,-0.0502418,9.36783e-07,0.0771106,-3.28138e-05,0.103987,3.92673e-05
