time_ns,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11
1760679849979848671,-0.134853,1.22373,-2.72303,0.134896,1.2237,-2.72301,-0.480487,1.68253,-2.72413,0.48049,1.682,-2.72416
1760679849980947802,-0.134852,1.22373,-2.72303,0.134896,1.2237,-2.72301,-0.480487,1.68253,-2.72413,0.48049,1.682,-2.72416
1760679849982037726,-0.134852,1.22373,-2.72303,0.134896,1.2237,-2.72301,-0.480487,1.68253,-2.72413,0.48049,1.682,-2.72416
1760679849983147668,-0.134852,1.22373,-2.72303,0.134895,1.2237,-2.72301,-0.480488,1.68253,-2.72413,0.480491,1.682,-2.72416
1760679849984241058,-0.134852,1.22373,-2.72303,0.134895,1.2237,-2.72301,-0.480488,1.68253,-2.72413,0.480491,1.682,-2.72416
1760679849985332585,-0.134852,1.22373,-2.72303,0.134894,1.2237,-2.72301,-0.480488,1.68253,-2.72413,0.480491,1.682,-2.72416
1760679849986427950,-0.134852,1.22373,-2.72303,0.134894,1.2237,-2.72301,-0.480488,1.68253,-2.72413,0.480491,1.682,-2.72416
1760679849987518715,-0.134851,1.22373,-2.72303,0.134894,1.2237,-2.72301,-0.480489,1.68253,-2.72413,0.480492,1.682,-2.72416
1760679849988672299,-0.134851,1.22373,-2.72303,0.134894,1.2237,-2.72301,-0.480489,1.68253,-2.72413,0.480492,1.682,-2.72416
1760679849989702640,-0.134851,1.22373,-2.72303,0.134894,1.2237,-2.72301,-0.480489,1.68253,-2.72413,0.480492,1.682,-2.72416
1760679849990838221,-0.13485,1.22373,-2.72303,0.134893,1.2237,-2.72301,-0.480489,1.68252,-2.72413,0.480493,1.68199,-2.72416
1760679849991921332,-0.13485,1.22373,-2.72303,0.134893,1.2237,-2.72301,-0.480489,1.68252,-2.72413,0.480493,1.68199,-2.72416
1760679849993016696,-0.13485,1.22373,-2.72303,0.134892,1.2237,-2.72301,-0.48049,1.68252,-2.72413,0.480493,1.68199,-2.72416
1760679849994121858,-0.13485,1.22373,-2.72303,0.134892,1.2237,-2.72301,-0.48049,1.68252,-2.72413,0.480493,1.68199,-2.72416
1760679849995206542,-0.13485,1.22373,-2.72303,0.134892,1.2237,-2.72301,-0.48049,1.68252,-2.72413,0.480494,1.68199,-2.72416
1760679849996298891,-0.13485,1.22373,-2.72303,0.134892,1.2237,-2.72301,-0.48049,1.68252,-2.72413,0.480494,1.68199,-2.72416
1760679849997390568,-0.134849,1.22373,-2.72303,0.134891,1.2237,-2.72301,-0.480491,1.68252,-2.72413,0.480494,1.68199,-2.72416
1760679849998486744,-0.134849,1.22373,-2.72303,0.134891,1.2237,-2.72301,-0.480491,1.68252,-2.72413,0.480494,1.68199,-2.72416
1760679849999577279,-0.134849,1.22373,-2.72303,0.134891,1.2237,-2.72301,-0.480491,1.68252,-2.72413,0.480494,1.68199,-2.72416
